team,group,pos,elo,host
Mexico,A,1,1875,MEX
South Korea,A,2,1758,
South Africa,A,3,1528,
Czech Republic,A,4,1740,
Canada,B,1,1788,CAN
Switzerland,B,2,1891,
Qatar,B,3,1421,
Bosnia and Herzegovina,B,4,1595,
Brazil,C,1,1991,
Morocco,C,2,1824,
Scotland,C,3,1782,
Haiti,C,4,1548,
United States,D,1,1726,USA
Australia,D,2,1777,
Paraguay,D,3,1833,
Turkey,D,4,1911,
Germany,E,1,1932,
Ecuador,E,2,1935,
Ivory Coast,E,3,1695,
Curacao,E,4,1434,
Netherlands,F,1,1944,
Japan,F,2,1906,
Tunisia,F,3,1628,
Sweden,F,4,1712,
Belgium,G,1,1893,
Iran,G,2,1772,
Egypt,G,3,1696,
New Zealand,G,4,1562,
Spain,H,1,2155,
Uruguay,H,2,1892,
Saudi Arabia,H,3,1569,
Cape Verde,H,4,1578,
France,I,1,2062,
Senegal,I,2,1867,
Norway,I,3,1917,
Iraq,I,4,1618,
Argentina,J,1,2114,
Austria,J,2,1830,
Algeria,J,3,1760,
Jordan,J,4,1685,
Portugal,K,1,1986,
Colombia,K,2,1977,
Uzbekistan,K,3,1718,
DR Congo,K,4,1661,
England,L,1,2021,
Croatia,L,2,1908,
Panama,L,3,1730,
Ghana,L,4,1510,
