group,home,away,P_home_win_%,P_draw_%,P_away_win_%
A,Mexico,South Korea,66.4,20.8,12.8
A,South Africa,Czech Republic,11.95,21.15,66.9
A,Mexico,South Africa,87.2,10.55,2.25
A,Czech Republic,South Korea,35.95,24.6,39.45
A,Czech Republic,Mexico,11.45,20.9,67.65
A,South Korea,South Africa,68.45,20.45,11.1
B,Canada,Switzerland,36.9,24.8,38.3
B,Qatar,Bosnia and Herzegovina,15.7,22.55,61.75
B,Canada,Qatar,88.35,10.45,1.2
B,Bosnia and Herzegovina,Switzerland,7.7,16.2,76.1
B,Bosnia and Herzegovina,Canada,7.5,17.3,75.2
B,Switzerland,Qatar,89.1,9.1,1.8
C,Brazil,Morocco,60.2,21.35,18.45
C,Scotland,Haiti,71.1,18.65,10.25
C,Brazil,Scotland,68.35,19.75,11.9
C,Haiti,Morocco,8.05,20.0,71.95
C,Haiti,Brazil,1.9,10.2,87.9
C,Morocco,Scotland,44.55,25.0,30.45
D,United States,Australia,42.45,27.45,30.1
D,Paraguay,Turkey,27.35,24.45,48.2
D,United States,Paraguay,34.75,26.75,38.5
D,Turkey,Australia,54.25,25.05,20.7
D,Turkey,United States,48.0,25.25,26.75
D,Australia,Paraguay,28.9,26.4,44.7
E,Germany,Ecuador,35.65,26.45,37.9
E,Ivory Coast,Curacao,72.25,18.85,8.9
E,Germany,Ivory Coast,67.95,19.7,12.35
E,Curacao,Ecuador,0.9,8.95,90.15
E,Curacao,Germany,1.05,9.15,89.8
E,Ecuador,Ivory Coast,71.8,18.65,9.55
F,Netherlands,Japan,43.55,24.85,31.6
F,Tunisia,Sweden,26.2,24.2,49.6
F,Netherlands,Tunisia,76.9,16.6,6.5
F,Sweden,Japan,14.15,20.85,65.0
F,Sweden,Netherlands,11.0,19.75,69.25
F,Japan,Tunisia,73.2,19.3,7.5
G,Belgium,Iran,55.65,23.95,20.4
G,Egypt,New Zealand,55.95,24.65,19.4
G,Belgium,Egypt,63.5,21.85,14.65
G,New Zealand,Iran,12.65,19.65,67.7
G,New Zealand,Belgium,5.75,14.95,79.3
G,Iran,Egypt,47.75,24.45,27.8
H,Spain,Uruguay,73.95,17.8,8.25
H,Saudi Arabia,Cape Verde,35.5,26.9,37.6
H,Spain,Saudi Arabia,90.45,9.05,0.5
H,Cape Verde,Uruguay,8.05,16.7,75.25
H,Cape Verde,Spain,0.35,9.1,90.55
H,Uruguay,Saudi Arabia,77.9,15.65,6.45
I,France,Senegal,63.35,21.9,14.75
I,Norway,Iraq,77.45,15.6,6.95
I,France,Norway,57.7,23.15,19.15
I,Iraq,Senegal,10.2,19.85,69.95
I,Iraq,France,1.75,10.1,88.15
I,Senegal,Norway,31.3,25.15,43.55
J,Argentina,Austria,77.6,15.05,7.35
J,Algeria,Jordan,49.3,25.05,25.65
J,Argentina,Algeria,80.7,14.35,4.95
J,Jordan,Austria,18.45,24.45,57.1
J,Jordan,Argentina,2.8,10.45,86.75
J,Austria,Algeria,46.35,24.7,28.95
K,Portugal,Colombia,36.85,27.5,35.65
K,Uzbekistan,DR Congo,45.6,24.8,29.6
K,Portugal,Uzbekistan,72.4,18.45,9.15
K,DR Congo,Colombia,6.85,15.0,78.15
K,DR Congo,Portugal,6.25,13.15,80.6
K,Colombia,Uzbekistan,73.65,17.85,8.5
L,England,Croatia,53.45,23.8,22.75
L,Panama,Ghana,67.6,20.9,11.5
L,England,Panama,75.4,16.6,8.0
L,Ghana,Croatia,3.25,12.25,84.5
L,Ghana,England,1.0,8.8,90.2
L,Croatia,Panama,63.25,20.5,16.25
