team,avg_KO_draws_after_90min_per_tournament,avg_penalty_shootouts_per_tournament
Spain,0.7044,0.3493
Argentina,0.6609,0.3347
France,0.6427,0.3243
England,0.6121,0.3114
Brazil,0.5824,0.3024
Portugal,0.5486,0.2797
Colombia,0.5389,0.2765
Ecuador,0.5381,0.2797
Switzerland,0.5318,0.2763
Germany,0.5316,0.275
Netherlands,0.5185,0.2692
Belgium,0.5004,0.2567
Mexico,0.4991,0.2576
Croatia,0.4792,0.2464
Turkey,0.4682,0.2384
Norway,0.4673,0.242
Japan,0.4641,0.2382
Canada,0.4281,0.219
Uruguay,0.4227,0.2176
Senegal,0.3922,0.204
Morocco,0.374,0.193
Paraguay,0.3692,0.1911
South Korea,0.3563,0.1835
Iran,0.3525,0.1808
Czech Republic,0.3342,0.1721
Scotland,0.3177,0.1638
Australia,0.294,0.149
Austria,0.2918,0.1474
Egypt,0.2534,0.129
Ivory Coast,0.2423,0.1221
Panama,0.2344,0.1197
United States,0.2269,0.1152
Algeria,0.2095,0.1051
Sweden,0.2006,0.1001
Bosnia and Herzegovina,0.194,0.0965
Uzbekistan,0.1898,0.0972
Jordan,0.1311,0.0654
DR Congo,0.1252,0.0621
New Zealand,0.1132,0.0558
Tunisia,0.1123,0.055
South Africa,0.0977,0.0477
Cape Verde,0.0879,0.0419
Saudi Arabia,0.0814,0.0396
Iraq,0.0788,0.039
Haiti,0.0667,0.0316
Qatar,0.0514,0.0241
Ghana,0.0431,0.0202
Curacao,0.0297,0.0132
