team,group,elo,win_group_%,advance_from_group_%,reach_R16_%,reach_QF_%,reach_SF_%,reach_final_%,champion_%
Spain,H,2155.0,78.11,99.2,74.19,55.3,41.77,28.21,18.081
Argentina,J,2114.0,71.89,96.79,66.11,50.71,34.68,22.36,13.28
France,I,2062.0,54.84,93.52,70.13,46.25,30.32,16.96,9.638
England,L,2021.0,57.59,95.73,63.92,40.15,23.74,13.03,6.86
Portugal,K,1986.0,44.6,90.28,58.34,33.93,18.43,10.03,4.979
Brazil,C,1991.0,57.21,93.78,57.8,34.88,19.59,9.81,4.936
Colombia,K,1977.0,42.13,89.44,56.7,32.35,17.3,9.21,4.479
Netherlands,F,1944.0,46.12,89.68,49.16,30.78,15.63,7.17,3.361
Ecuador,E,1935.0,44.97,94.41,55.47,27.01,14.79,6.76,3.107
Germany,E,1932.0,44.29,93.7,54.54,26.65,14.42,6.55,3.018
Norway,I,1917.0,24.5,80.64,47.2,25.35,13.27,6.05,2.813
Turkey,D,1911.0,41.14,83.4,54.55,27.97,11.84,5.72,2.564
Croatia,L,1908.0,31.32,88.84,47.29,23.17,11.74,5.43,2.381
Japan,F,1906.0,37.26,85.92,43.07,25.09,12.01,5.22,2.327
Switzerland,B,1891.0,56.37,94.99,59.97,27.3,11.16,4.94,2.097
Belgium,G,1893.0,51.28,90.29,55.48,27.09,10.52,4.89,2.061
Uruguay,H,1892.0,18.87,88.35,36.0,19.88,9.86,4.63,1.902
Mexico,A,1875.0,47.91,89.81,56.04,24.9,10.46,4.29,1.733
Senegal,I,1867.0,18.0,72.96,38.56,19.23,9.16,3.92,1.678
Paraguay,D,1833.0,26.61,72.44,40.7,17.76,6.87,2.95,1.178
Morocco,C,1824.0,22.86,78.72,33.97,16.15,6.76,2.57,0.993
Austria,J,1830.0,14.4,69.51,24.66,12.01,5.35,2.34,0.909
Canada,B,1788.0,32.48,88.31,45.09,16.8,5.6,1.95,0.695
Australia,D,1777.0,18.72,62.76,31.31,11.98,4.24,1.66,0.608
Scotland,C,1782.0,17.13,72.18,28.26,12.52,4.8,1.69,0.595
Iran,G,1772.0,26.27,77.63,36.49,13.21,4.31,1.63,0.563
South Korea,A,1758.0,25.08,76.41,38.41,13.84,4.49,1.47,0.479
Czech Republic,A,1740.0,22.15,73.34,35.34,12.26,3.75,1.19,0.384
Algeria,J,1760.0,8.76,56.51,17.47,7.32,2.86,1.06,0.373
United States,D,1726.0,13.53,52.47,23.53,8.14,2.67,0.95,0.334
Panama,L,1730.0,9.52,62.95,20.59,7.13,2.48,0.88,0.293
Uzbekistan,K,1718.0,8.02,49.3,16.86,5.98,2.15,0.73,0.242
Sweden,F,1712.0,10.89,55.28,16.31,6.35,2.26,0.71,0.235
Egypt,G,1696.0,16.32,64.57,25.21,7.57,2.05,0.65,0.199
Ivory Coast,E,1695.0,9.73,65.78,21.29,6.54,2.07,0.62,0.174
Jordan,J,1685.0,4.95,40.17,10.61,3.71,1.23,0.41,0.112
DR Congo,K,1661.0,5.25,37.02,10.84,3.35,1.01,0.31,0.084
Tunisia,F,1628.0,5.74,37.17,8.61,2.9,0.88,0.25,0.082
Bosnia and Herzegovina,B,1595.0,9.04,59.22,17.48,4.47,0.84,0.2,0.039
Iraq,I,1618.0,2.66,22.84,6.66,2.06,0.59,0.14,0.037
New Zealand,G,1562.0,6.13,36.7,9.98,2.09,0.41,0.11,0.024
Saudi Arabia,H,1569.0,1.43,31.39,6.22,1.55,0.36,0.09,0.022
Cape Verde,H,1578.0,1.6,33.15,6.72,1.69,0.42,0.1,0.022
Haiti,C,1548.0,2.79,24.57,4.86,1.21,0.27,0.07,0.013
South Africa,A,1528.0,4.86,30.87,8.89,1.91,0.33,0.06,0.01
Ghana,L,1510.0,1.57,19.25,3.11,0.63,0.13,0.03,0.005
Curacao,E,1434.0,1.01,14.53,2.11,0.32,0.04,0.01,0.001
Qatar,B,1421.0,2.1,23.23,3.88,0.59,0.06,0.01,0.0
